feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f25,0.04124999999999995,-0.004687499999999956,-0.007500000000000007,0.000736607142857142,-8.370535714285634e-05,-0.00013392857142857154,56.0,1.0,1.0,1.0,1,SVM-rbf
f26,-0.010416666666666685,-0.007673611111111034,-0.013083333333333336,-0.00021258503401360581,-0.0001566043083900211,-0.00026700680272108846,49.0,1.0,1.0,1.0,1,SVM-rbf
f27,0.07541666666666674,-0.005271825396825414,0.013749999999999873,0.0017538759689922497,-0.00012260059062384684,0.00031976744186046216,43.0,1.0,1.0,1.0,1,SVM-rbf
f28,-0.027083333333333293,-0.017319444444444443,0.007583333333333442,-0.0005642361111111103,-0.00036082175925925924,0.00015798611111111338,48.0,1.0,1.0,1.0,1,SVM-rbf
f29,-0.009166666666666712,-0.011625992063492019,-0.0024999999999999467,-0.00030555555555555707,-0.0003875330687830673,-8.333333333333156e-05,30.0,1.0,1.0,1.0,1,SVM-rbf
f3,-0.0016666666666667052,0.024847222222222298,0.0055833333333333846,-2.4154589371981235e-05,0.0003601046698872797,8.091787439613601e-05,69.0,1.0,1.0,1.0,1,SVM-rbf
f30,-0.00708333333333333,-0.011158730158730146,-8.333333333326864e-05,-0.0003728070175438595,-0.0005873015873015866,-4.385964912277297e-06,19.0,1.0,1.0,1.0,1,SVM-rbf
f31,-0.011666666666666659,0.007736111111111055,-0.0023333333333332984,-0.0002592592592592591,0.00017191358024691233,-5.185185185185108e-05,45.0,1.0,1.0,1.0,1,SVM-rbf
f32,-0.006666666666666654,0.04035416666666669,0.010333333333333306,-5.420054200541995e-05,0.00032808265582655847,8.401084010840086e-05,123.0,1.0,1.0,1.0,1,SVM-rbf
f33,-0.0004166666666666763,0.060569444444444565,-0.0027499999999999747,-1.0964912280702008e-05,0.001593932748538015,-7.236842105263091e-05,38.0,1.0,1.0,1.0,1,SVM-rbf
f34,-0.04583333333333334,-0.013118055555555563,-0.0006666666666667043,-0.001388888888888889,-0.00039751683501683524,-2.020202020202134e-05,33.0,1.0,1.0,1.0,1,SVM-rbf
f35,-0.02416666666666667,-0.020062499999999872,-0.00824999999999998,-0.00044753086419753094,-0.0003715277777777754,-0.0001527777777777774,54.0,1.0,1.0,1.0,1,SVM-rbf
f36,-0.00833333333333336,-0.018486111111111148,-0.004999999999999893,-0.00016666666666666718,-0.00036972222222222295,-9.999999999999786e-05,50.0,1.0,1.0,1.0,1,SVM-rbf
f37,-0.0008333333333332971,0.013333333333333253,0.0001666666666665928,-1.6025641025640328e-05,0.00025641025641025484,3.2051282051267845e-06,52.0,1.0,1.0,1.0,1,SVM-rbf
f38,-0.006249999999999978,-0.00554464285714279,-0.0005833333333333801,-0.0002840909090909081,-0.00025202922077921774,-2.651515151515364e-05,22.0,1.0,1.0,1.0,1,SVM-rbf
f39,-0.019583333333333286,-0.0002638888888888413,-0.008083333333333276,-0.0009325396825396803,-1.2566137566135302e-05,-0.0003849206349206322,21.0,1.0,1.0,1.0,1,SVM-rbf
f4,-0.040000000000000036,0.024361111111111,-0.00033333333333340764,-0.0006557377049180333,0.00039936247723132786,-5.464480874318158e-06,61.0,1.0,1.0,1.0,1,SVM-rbf
f40,0.009166666666666656,-0.016034722222222242,-0.006416666666666626,0.000218253968253968,-0.000381779100529101,-0.0001527777777777768,42.0,1.0,1.0,1.0,1,SVM-rbf
f41,-0.0016666666666667052,0.02537400793650796,0.002916666666666734,-4.166666666666763e-05,0.0006343501984126989,7.291666666666835e-05,40.0,1.0,1.0,1.0,1,SVM-rbf
f42,-0.00874999999999998,-0.006635912698412683,-0.0027499999999999747,-0.0001411290322580642,-0.00010703084997439811,-4.435483870967701e-05,62.0,1.0,1.0,1.0,1,SVM-rbf
f43,-0.02083333333333337,-0.004912202380952302,-0.005916666666666737,-0.0009920634920634937,-0.00023391439909296676,-0.0002817460317460351,21.0,1.0,1.0,1.0,1,SVM-rbf
f44,-0.012083333333333335,0.012472222222222218,-0.0040000000000000036,-0.00020480225988700568,0.00021139359698681725,-6.779661016949159e-05,59.0,1.0,1.0,1.0,1,SVM-rbf
f45,-0.0050000000000000044,-0.003722222222222238,0.02441666666666653,-0.00013157894736842116,-9.795321637426942e-05,0.0006425438596491192,38.0,1.0,1.0,1.0,1,SVM-rbf
f46,-0.017916666666666692,-0.006930555555555495,-0.004416666666666735,-0.0006635802469135811,-0.0002566872427983517,-0.0001635802469135828,27.0,1.0,1.0,1.0,1,SVM-rbf
f47,-0.007916666666666683,-0.010708333333333264,0.013833333333333364,-0.00020833333333333375,-0.0002817982456140333,0.0003640350877192991,38.0,1.0,1.0,1.0,1,SVM-rbf
f48,0.007083333333333386,-0.014139880952381001,-0.0055833333333333846,0.00026234567901234763,-0.0005236992945326297,-0.000206790123456792,27.0,1.0,1.0,1.0,1,SVM-rbf
f49,-0.030416666666666703,-0.007770833333333282,-0.0069166666666666266,-0.0023397435897435925,-0.0005977564102564064,-0.000532051282051279,13.0,1.0,1.0,1.0,1,SVM-rbf
f5,0.07458333333333333,0.03356249999999983,0.007583333333333331,0.0014072327044025157,0.0006332547169811289,0.00014308176100628927,53.0,1.0,1.0,1.0,1,SVM-rbf
